Sheet,Cell,Formula,Evaluated Value
RevCoreCount,OI11,"=_xlfn.TEXTJOIN("" : "",,NL11,NT11,OG11)",
RevCoreCount,B12,"=IF(C12=""NotFound"",D12,C12)",CORE
RevCoreCount,C12,"=IF(H12>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J12:GG12,1),J12:GG12,$J$4:$GG$4,""""))",CORE
RevCoreCount,D12,"=IF(F12>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI12:NF12,1),GI12:NF12,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E12,=OI12,
RevCoreCount,F12,"=COUNTIF(GI12:NF12,G12)",0
RevCoreCount,G12,=MAX(GI12:NF12),0
RevCoreCount,H12,"=COUNTIF(J12:GG12,I12)",0
RevCoreCount,I12,=MAX(J12:GG12),0
RevCoreCount,OI12,"=_xlfn.TEXTJOIN("" : "",,NL12,NT12,OG12)",
RevCoreCount,B13,"=IF(C13=""NotFound"",D13,C13)",CORE
RevCoreCount,C13,"=IF(H13>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J13:GG13,1),J13:GG13,$J$4:$GG$4,""""))",CORE
RevCoreCount,D13,"=IF(F13>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI13:NF13,1),GI13:NF13,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E13,=OI13,
RevCoreCount,F13,"=COUNTIF(GI13:NF13,G13)",0
RevCoreCount,G13,=MAX(GI13:NF13),0
RevCoreCount,H13,"=COUNTIF(J13:GG13,I13)",0
RevCoreCount,I13,=MAX(J13:GG13),0
RevCoreCount,OI13,"=_xlfn.TEXTJOIN("" : "",,NL13,NT13,OG13)",
RevCoreCount,B14,"=IF(C14=""NotFound"",D14,C14)",CORE
RevCoreCount,C14,"=IF(H14>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J14:GG14,1),J14:GG14,$J$4:$GG$4,""""))",CORE
RevCoreCount,D14,"=IF(F14>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI14:NF14,1),GI14:NF14,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E14,=OI14,
RevCoreCount,F14,"=COUNTIF(GI14:NF14,G14)",0
RevCoreCount,G14,=MAX(GI14:NF14),0
RevCoreCount,H14,"=COUNTIF(J14:GG14,I14)",0
RevCoreCount,I14,=MAX(J14:GG14),0
RevCoreCount,OI14,"=_xlfn.TEXTJOIN("" : "",,NL14,NT14,OG14)",
RevCoreCount,B15,"=IF(C15=""NotFound"",D15,C15)",CORE
RevCoreCount,C15,"=IF(H15>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J15:GG15,1),J15:GG15,$J$4:$GG$4,""""))",CORE
RevCoreCount,D15,"=IF(F15>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI15:NF15,1),GI15:NF15,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E15,=OI15,
RevCoreCount,F15,"=COUNTIF(GI15:NF15,G15)",0
RevCoreCount,G15,=MAX(GI15:NF15),0
RevCoreCount,H15,"=COUNTIF(J15:GG15,I15)",0
RevCoreCount,I15,=MAX(J15:GG15),0
RevCoreCount,OI15,"=_xlfn.TEXTJOIN("" : "",,NL15,NT15,OG15)",
RevCoreCount,B16,"=IF(C16=""NotFound"",D16,C16)",CORE
RevCoreCount,C16,"=IF(H16>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J16:GG16,1),J16:GG16,$J$4:$GG$4,""""))",CORE
RevCoreCount,D16,"=IF(F16>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI16:NF16,1),GI16:NF16,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E16,=OI16,
RevCoreCount,F16,"=COUNTIF(GI16:NF16,G16)",0
RevCoreCount,G16,=MAX(GI16:NF16),0
RevCoreCount,H16,"=COUNTIF(J16:GG16,I16)",0
RevCoreCount,I16,=MAX(J16:GG16),0
RevCoreCount,OI16,"=_xlfn.TEXTJOIN("" : "",,NL16,NT16,OG16)",
RevCoreCount,B17,"=IF(C17=""NotFound"",D17,C17)",CORE
RevCoreCount,C17,"=IF(H17>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J17:GG17,1),J17:GG17,$J$4:$GG$4,""""))",CORE
RevCoreCount,D17,"=IF(F17>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI17:NF17,1),GI17:NF17,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E17,=OI17,
RevCoreCount,F17,"=COUNTIF(GI17:NF17,G17)",0
RevCoreCount,G17,=MAX(GI17:NF17),0
RevCoreCount,H17,"=COUNTIF(J17:GG17,I17)",0
RevCoreCount,I17,=MAX(J17:GG17),0
RevCoreCount,OI17,"=_xlfn.TEXTJOIN("" : "",,NL17,NT17,OG17)",
RevCoreCount,B18,"=IF(C18=""NotFound"",D18,C18)",CORE
RevCoreCount,C18,"=IF(H18>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J18:GG18,1),J18:GG18,$J$4:$GG$4,""""))",CORE
RevCoreCount,D18,"=IF(F18>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI18:NF18,1),GI18:NF18,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E18,=OI18,
RevCoreCount,F18,"=COUNTIF(GI18:NF18,G18)",0
RevCoreCount,G18,=MAX(GI18:NF18),0
RevCoreCount,H18,"=COUNTIF(J18:GG18,I18)",0
RevCoreCount,I18,=MAX(J18:GG18),0
RevCoreCount,OI18,"=_xlfn.TEXTJOIN("" : "",,NL18,NT18,OG18)",
RevCoreCount,B19,"=IF(C19=""NotFound"",D19,C19)",CORE
RevCoreCount,C19,"=IF(H19>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J19:GG19,1),J19:GG19,$J$4:$GG$4,""""))",CORE
RevCoreCount,D19,"=IF(F19>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI19:NF19,1),GI19:NF19,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E19,=OI19,
RevCoreCount,F19,"=COUNTIF(GI19:NF19,G19)",0
RevCoreCount,G19,=MAX(GI19:NF19),0
RevCoreCount,H19,"=COUNTIF(J19:GG19,I19)",0
RevCoreCount,I19,=MAX(J19:GG19),0
RevCoreCount,OI19,"=_xlfn.TEXTJOIN("" : "",,NL19,NT19,OG19)",
RevCoreCount,B20,"=IF(C20=""NotFound"",D20,C20)",CORE
RevCoreCount,C20,"=IF(H20>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J20:GG20,1),J20:GG20,$J$4:$GG$4,""""))",CORE
RevCoreCount,D20,"=IF(F20>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI20:NF20,1),GI20:NF20,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E20,=OI20,
RevCoreCount,F20,"=COUNTIF(GI20:NF20,G20)",0
RevCoreCount,G20,=MAX(GI20:NF20),0
RevCoreCount,H20,"=COUNTIF(J20:GG20,I20)",0
RevCoreCount,I20,=MAX(J20:GG20),0
RevCoreCount,OI20,"=_xlfn.TEXTJOIN("" : "",,NL20,NT20,OG20)",
RevCoreCount,B21,"=IF(C21=""NotFound"",D21,C21)",CORE
RevCoreCount,C21,"=IF(H21>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J21:GG21,1),J21:GG21,$J$4:$GG$4,""""))",CORE
RevCoreCount,D21,"=IF(F21>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI21:NF21,1),GI21:NF21,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E21,=OI21,
RevCoreCount,F21,"=COUNTIF(GI21:NF21,G21)",0
RevCoreCount,G21,=MAX(GI21:NF21),0
RevCoreCount,H21,"=COUNTIF(J21:GG21,I21)",0
RevCoreCount,I21,=MAX(J21:GG21),0
RevCoreCount,OI21,"=_xlfn.TEXTJOIN("" : "",,NL21,NT21,OG21)",
RevCoreCount,B22,"=IF(C22=""NotFound"",D22,C22)",CORE
RevCoreCount,C22,"=IF(H22>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J22:GG22,1),J22:GG22,$J$4:$GG$4,""""))",CORE
RevCoreCount,D22,"=IF(F22>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI22:NF22,1),GI22:NF22,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E22,=OI22,
RevCoreCount,F22,"=COUNTIF(GI22:NF22,G22)",0
RevCoreCount,G22,=MAX(GI22:NF22),0
RevCoreCount,H22,"=COUNTIF(J22:GG22,I22)",0
RevCoreCount,I22,=MAX(J22:GG22),0
RevCoreCount,OI22,"=_xlfn.TEXTJOIN("" : "",,NL22,NT22,OG22)",
RevCoreCount,B23,"=IF(C23=""NotFound"",D23,C23)",CORE
RevCoreCount,C23,"=IF(H23>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J23:GG23,1),J23:GG23,$J$4:$GG$4,""""))",CORE
RevCoreCount,D23,"=IF(F23>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI23:NF23,1),GI23:NF23,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E23,=OI23,
RevCoreCount,F23,"=COUNTIF(GI23:NF23,G23)",0
RevCoreCount,G23,=MAX(GI23:NF23),0
RevCoreCount,H23,"=COUNTIF(J23:GG23,I23)",0
RevCoreCount,I23,=MAX(J23:GG23),0
RevCoreCount,OI23,"=_xlfn.TEXTJOIN("" : "",,NL23,NT23,OG23)",
RevCoreCount,B24,"=IF(C24=""NotFound"",D24,C24)",CORE
RevCoreCount,C24,"=IF(H24>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J24:GG24,1),J24:GG24,$J$4:$GG$4,""""))",CORE
RevCoreCount,D24,"=IF(F24>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI24:NF24,1),GI24:NF24,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E24,=OI24,
RevCoreCount,F24,"=COUNTIF(GI24:NF24,G24)",0
RevCoreCount,G24,=MAX(GI24:NF24),0
RevCoreCount,H24,"=COUNTIF(J24:GG24,I24)",0
RevCoreCount,I24,=MAX(J24:GG24),0
RevCoreCount,OI24,"=_xlfn.TEXTJOIN("" : "",,NL24,NT24,OG24)",
RevCoreCount,B25,"=IF(C25=""NotFound"",D25,C25)",CORE
RevCoreCount,C25,"=IF(H25>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J25:GG25,1),J25:GG25,$J$4:$GG$4,""""))",CORE
RevCoreCount,D25,"=IF(F25>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI25:NF25,1),GI25:NF25,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E25,=OI25,
RevCoreCount,F25,"=COUNTIF(GI25:NF25,G25)",0
RevCoreCount,G25,=MAX(GI25:NF25),0
RevCoreCount,H25,"=COUNTIF(J25:GG25,I25)",0
RevCoreCount,I25,=MAX(J25:GG25),0
RevCoreCount,OI25,"=_xlfn.TEXTJOIN("" : "",,NL25,NT25,OG25)",
RevCoreCount,B26,"=IF(C26=""NotFound"",D26,C26)",CORE
RevCoreCount,C26,"=IF(H26>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J26:GG26,1),J26:GG26,$J$4:$GG$4,""""))",CORE
RevCoreCount,D26,"=IF(F26>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI26:NF26,1),GI26:NF26,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E26,=OI26,
RevCoreCount,F26,"=COUNTIF(GI26:NF26,G26)",0
RevCoreCount,G26,=MAX(GI26:NF26),0
RevCoreCount,H26,"=COUNTIF(J26:GG26,I26)",0
RevCoreCount,I26,=MAX(J26:GG26),0
RevCoreCount,OI26,"=_xlfn.TEXTJOIN("" : "",,NL26,NT26,OG26)",
RevCoreCount,B27,"=IF(C27=""NotFound"",D27,C27)",CORE
RevCoreCount,C27,"=IF(H27>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J27:GG27,1),J27:GG27,$J$4:$GG$4,""""))",CORE
RevCoreCount,D27,"=IF(F27>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI27:NF27,1),GI27:NF27,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E27,=OI27,
RevCoreCount,F27,"=COUNTIF(GI27:NF27,G27)",0
RevCoreCount,G27,=MAX(GI27:NF27),0
RevCoreCount,H27,"=COUNTIF(J27:GG27,I27)",0
RevCoreCount,I27,=MAX(J27:GG27),0
RevCoreCount,OI27,"=_xlfn.TEXTJOIN("" : "",,NL27,NT27,OG27)",
RevCoreCount,B28,"=IF(C28=""NotFound"",D28,C28)",CORE
RevCoreCount,C28,"=IF(H28>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J28:GG28,1),J28:GG28,$J$4:$GG$4,""""))",CORE
RevCoreCount,D28,"=IF(F28>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI28:NF28,1),GI28:NF28,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E28,=OI28,
RevCoreCount,F28,"=COUNTIF(GI28:NF28,G28)",0
RevCoreCount,G28,=MAX(GI28:NF28),0
RevCoreCount,H28,"=COUNTIF(J28:GG28,I28)",0
RevCoreCount,I28,=MAX(J28:GG28),0
RevCoreCount,OI28,"=_xlfn.TEXTJOIN("" : "",,NL28,NT28,OG28)",
RevCoreCount,B29,"=IF(C29=""NotFound"",D29,C29)",CORE
RevCoreCount,C29,"=IF(H29>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J29:GG29,1),J29:GG29,$J$4:$GG$4,""""))",CORE
RevCoreCount,D29,"=IF(F29>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI29:NF29,1),GI29:NF29,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E29,=OI29,
RevCoreCount,F29,"=COUNTIF(GI29:NF29,G29)",0
RevCoreCount,G29,=MAX(GI29:NF29),0
RevCoreCount,H29,"=COUNTIF(J29:GG29,I29)",0
RevCoreCount,I29,=MAX(J29:GG29),0
RevCoreCount,OI29,"=_xlfn.TEXTJOIN("" : "",,NL29,NT29,OG29)",
RevCoreCount,B30,"=IF(C30=""NotFound"",D30,C30)",CORE
RevCoreCount,C30,"=IF(H30>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J30:GG30,1),J30:GG30,$J$4:$GG$4,""""))",CORE
RevCoreCount,D30,"=IF(F30>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI30:NF30,1),GI30:NF30,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E30,=OI30,
RevCoreCount,F30,"=COUNTIF(GI30:NF30,G30)",0
RevCoreCount,G30,=MAX(GI30:NF30),0
RevCoreCount,H30,"=COUNTIF(J30:GG30,I30)",0
RevCoreCount,I30,=MAX(J30:GG30),0
RevCoreCount,OI30,"=_xlfn.TEXTJOIN("" : "",,NL30,NT30,OG30)",
RevCoreCount,B31,"=IF(C31=""NotFound"",D31,C31)",CORE
RevCoreCount,C31,"=IF(H31>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J31:GG31,1),J31:GG31,$J$4:$GG$4,""""))",CORE
RevCoreCount,D31,"=IF(F31>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI31:NF31,1),GI31:NF31,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E31,=OI31,
RevCoreCount,F31,"=COUNTIF(GI31:NF31,G31)",0
RevCoreCount,G31,=MAX(GI31:NF31),0
RevCoreCount,H31,"=COUNTIF(J31:GG31,I31)",0
RevCoreCount,I31,=MAX(J31:GG31),0
RevCoreCount,OI31,"=_xlfn.TEXTJOIN("" : "",,NL31,NT31,OG31)",
RevCoreCount,B32,"=IF(C32=""NotFound"",D32,C32)",CORE
RevCoreCount,C32,"=IF(H32>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J32:GG32,1),J32:GG32,$J$4:$GG$4,""""))",CORE
RevCoreCount,D32,"=IF(F32>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI32:NF32,1),GI32:NF32,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E32,=OI32,
RevCoreCount,F32,"=COUNTIF(GI32:NF32,G32)",0
RevCoreCount,G32,=MAX(GI32:NF32),0
RevCoreCount,H32,"=COUNTIF(J32:GG32,I32)",0
RevCoreCount,I32,=MAX(J32:GG32),0
RevCoreCount,OI32,"=_xlfn.TEXTJOIN("" : "",,NL32,NT32,OG32)",
RevCoreCount,B33,"=IF(C33=""NotFound"",D33,C33)",CORE
RevCoreCount,C33,"=IF(H33>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J33:GG33,1),J33:GG33,$J$4:$GG$4,""""))",CORE
RevCoreCount,D33,"=IF(F33>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI33:NF33,1),GI33:NF33,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E33,=OI33,
RevCoreCount,F33,"=COUNTIF(GI33:NF33,G33)",0
RevCoreCount,G33,=MAX(GI33:NF33),0
RevCoreCount,H33,"=COUNTIF(J33:GG33,I33)",0
RevCoreCount,I33,=MAX(J33:GG33),0
RevCoreCount,OI33,"=_xlfn.TEXTJOIN("" : "",,NL33,NT33,OG33)",
RevCoreCount,B34,"=IF(C34=""NotFound"",D34,C34)",CORE
RevCoreCount,C34,"=IF(H34>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J34:GG34,1),J34:GG34,$J$4:$GG$4,""""))",CORE
RevCoreCount,D34,"=IF(F34>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI34:NF34,1),GI34:NF34,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E34,=OI34,
RevCoreCount,F34,"=COUNTIF(GI34:NF34,G34)",0
RevCoreCount,G34,=MAX(GI34:NF34),0
RevCoreCount,H34,"=COUNTIF(J34:GG34,I34)",0
RevCoreCount,I34,=MAX(J34:GG34),0
RevCoreCount,OI34,"=_xlfn.TEXTJOIN("" : "",,NL34,NT34,OG34)",
RevCoreCount,B35,"=IF(C35=""NotFound"",D35,C35)",CORE
RevCoreCount,C35,"=IF(H35>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J35:GG35,1),J35:GG35,$J$4:$GG$4,""""))",CORE
RevCoreCount,D35,"=IF(F35>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI35:NF35,1),GI35:NF35,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E35,=OI35,
RevCoreCount,F35,"=COUNTIF(GI35:NF35,G35)",0
RevCoreCount,G35,=MAX(GI35:NF35),0
RevCoreCount,H35,"=COUNTIF(J35:GG35,I35)",0
RevCoreCount,I35,=MAX(J35:GG35),0
RevCoreCount,OI35,"=_xlfn.TEXTJOIN("" : "",,NL35,NT35,OG35)",
RevCoreCount,B36,"=IF(C36=""NotFound"",D36,C36)",CORE
RevCoreCount,C36,"=IF(H36>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J36:GG36,1),J36:GG36,$J$4:$GG$4,""""))",CORE
RevCoreCount,D36,"=IF(F36>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI36:NF36,1),GI36:NF36,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E36,=OI36,
RevCoreCount,F36,"=COUNTIF(GI36:NF36,G36)",0
RevCoreCount,G36,=MAX(GI36:NF36),0
RevCoreCount,H36,"=COUNTIF(J36:GG36,I36)",0
RevCoreCount,I36,=MAX(J36:GG36),0
RevCoreCount,OI36,"=_xlfn.TEXTJOIN("" : "",,NL36,NT36,OG36)",
RevCoreCount,B37,"=IF(C37=""NotFound"",D37,C37)",CORE
RevCoreCount,C37,"=IF(H37>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J37:GG37,1),J37:GG37,$J$4:$GG$4,""""))",CORE
RevCoreCount,D37,"=IF(F37>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI37:NF37,1),GI37:NF37,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E37,=OI37,
RevCoreCount,F37,"=COUNTIF(GI37:NF37,G37)",0
RevCoreCount,G37,=MAX(GI37:NF37),0
RevCoreCount,H37,"=COUNTIF(J37:GG37,I37)",0
RevCoreCount,I37,=MAX(J37:GG37),0
RevCoreCount,OI37,"=_xlfn.TEXTJOIN("" : "",,NL37,NT37,OG37)",
RevCoreCount,B38,"=IF(C38=""NotFound"",D38,C38)",CORE
RevCoreCount,C38,"=IF(H38>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J38:GG38,1),J38:GG38,$J$4:$GG$4,""""))",CORE
RevCoreCount,D38,"=IF(F38>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI38:NF38,1),GI38:NF38,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E38,=OI38,
RevCoreCount,F38,"=COUNTIF(GI38:NF38,G38)",0
RevCoreCount,G38,=MAX(GI38:NF38),0
RevCoreCount,H38,"=COUNTIF(J38:GG38,I38)",0
RevCoreCount,I38,=MAX(J38:GG38),0
RevCoreCount,OI38,"=_xlfn.TEXTJOIN("" : "",,NL38,NT38,OG38)",
RevCoreCount,B39,"=IF(C39=""NotFound"",D39,C39)",CORE
RevCoreCount,C39,"=IF(H39>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J39:GG39,1),J39:GG39,$J$4:$GG$4,""""))",CORE
RevCoreCount,D39,"=IF(F39>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI39:NF39,1),GI39:NF39,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E39,=OI39,
RevCoreCount,F39,"=COUNTIF(GI39:NF39,G39)",0
RevCoreCount,G39,=MAX(GI39:NF39),0
RevCoreCount,H39,"=COUNTIF(J39:GG39,I39)",0
RevCoreCount,I39,=MAX(J39:GG39),0
RevCoreCount,OI39,"=_xlfn.TEXTJOIN("" : "",,NL39,NT39,OG39)",
RevCoreCount,B40,"=IF(C40=""NotFound"",D40,C40)",CORE
RevCoreCount,C40,"=IF(H40>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J40:GG40,1),J40:GG40,$J$4:$GG$4,""""))",CORE
RevCoreCount,D40,"=IF(F40>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI40:NF40,1),GI40:NF40,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E40,=OI40,
RevCoreCount,F40,"=COUNTIF(GI40:NF40,G40)",0
RevCoreCount,G40,=MAX(GI40:NF40),0
RevCoreCount,H40,"=COUNTIF(J40:GG40,I40)",0
RevCoreCount,I40,=MAX(J40:GG40),0
RevCoreCount,OI40,"=_xlfn.TEXTJOIN("" : "",,NL40,NT40,OG40)",
RevCoreCount,B41,"=IF(C41=""NotFound"",D41,C41)",CORE
RevCoreCount,C41,"=IF(H41>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J41:GG41,1),J41:GG41,$J$4:$GG$4,""""))",CORE
RevCoreCount,D41,"=IF(F41>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI41:NF41,1),GI41:NF41,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E41,=OI41,
RevCoreCount,F41,"=COUNTIF(GI41:NF41,G41)",0
RevCoreCount,G41,=MAX(GI41:NF41),0
RevCoreCount,H41,"=COUNTIF(J41:GG41,I41)",0
RevCoreCount,I41,=MAX(J41:GG41),0
RevCoreCount,OI41,"=_xlfn.TEXTJOIN("" : "",,NL41,NT41,OG41)",
RevCoreCount,B42,"=IF(C42=""NotFound"",D42,C42)",CORE
RevCoreCount,C42,"=IF(H42>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J42:GG42,1),J42:GG42,$J$4:$GG$4,""""))",CORE
RevCoreCount,D42,"=IF(F42>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI42:NF42,1),GI42:NF42,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E42,=OI42,
RevCoreCount,F42,"=COUNTIF(GI42:NF42,G42)",0
RevCoreCount,G42,=MAX(GI42:NF42),0
RevCoreCount,H42,"=COUNTIF(J42:GG42,I42)",0
RevCoreCount,I42,=MAX(J42:GG42),0
RevCoreCount,OI42,"=_xlfn.TEXTJOIN("" : "",,NL42,NT42,OG42)",
RevCoreCount,B43,"=IF(C43=""NotFound"",D43,C43)",CORE
RevCoreCount,C43,"=IF(H43>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J43:GG43,1),J43:GG43,$J$4:$GG$4,""""))",CORE
RevCoreCount,D43,"=IF(F43>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI43:NF43,1),GI43:NF43,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E43,=OI43,
RevCoreCount,F43,"=COUNTIF(GI43:NF43,G43)",0
RevCoreCount,G43,=MAX(GI43:NF43),0
RevCoreCount,H43,"=COUNTIF(J43:GG43,I43)",0
RevCoreCount,I43,=MAX(J43:GG43),0
RevCoreCount,OI43,"=_xlfn.TEXTJOIN("" : "",,NL43,NT43,OG43)",
RevCoreCount,B44,"=IF(C44=""NotFound"",D44,C44)",CORE
RevCoreCount,C44,"=IF(H44>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J44:GG44,1),J44:GG44,$J$4:$GG$4,""""))",CORE
RevCoreCount,D44,"=IF(F44>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI44:NF44,1),GI44:NF44,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E44,=OI44,
RevCoreCount,F44,"=COUNTIF(GI44:NF44,G44)",0
RevCoreCount,G44,=MAX(GI44:NF44),0
RevCoreCount,H44,"=COUNTIF(J44:GG44,I44)",0
RevCoreCount,I44,=MAX(J44:GG44),0
RevCoreCount,OI44,"=_xlfn.TEXTJOIN("" : "",,NL44,NT44,OG44)",
RevCoreCount,B45,"=IF(C45=""NotFound"",D45,C45)",CORE
RevCoreCount,C45,"=IF(H45>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J45:GG45,1),J45:GG45,$J$4:$GG$4,""""))",CORE
RevCoreCount,D45,"=IF(F45>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI45:NF45,1),GI45:NF45,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E45,=OI45,
RevCoreCount,F45,"=COUNTIF(GI45:NF45,G45)",0
RevCoreCount,G45,=MAX(GI45:NF45),0
RevCoreCount,H45,"=COUNTIF(J45:GG45,I45)",0
RevCoreCount,I45,=MAX(J45:GG45),0
RevCoreCount,OI45,"=_xlfn.TEXTJOIN("" : "",,NL45,NT45,OG45)",
RevCoreCount,B46,"=IF(C46=""NotFound"",D46,C46)",CORE
RevCoreCount,C46,"=IF(H46>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(J46:GG46,1),J46:GG46,$J$4:$GG$4,""""))",CORE
RevCoreCount,D46,"=IF(F46>1,""NotFound"",""CORE""&_xlfn.XLOOKUP(MAX(GI46:NF46,1),GI46:NF46,$GI$4:$NF$4,""""))",CORE
RevCoreCount,E46,=OI46,
RevCoreCount,F46,"=COUNTIF(GI46:NF46,G46)",0
RevCoreCount,G46,=MAX(GI46:NF46),0
RevCoreCount,H46,"=COUNTIF(J46:GG46,I46)",0
RevCoreCount,I46,=MAX(J46:GG46),0
RevCoreCount,OI46,"=_xlfn.TEXTJOIN("" : "",,NL46,NT46,OG46)",
