Sheet,Cell,Formula,Evaluated Value
Analysis,T5,"=IF(summ[[#This Row],[Core Hint]]<>""NotFound"",_xlfn.TEXTJOIN("" "",,""Disable CORE:"",summ[[#This Row],[Core Hint]],""- MCAs:"",summ[[#This Row],[Core Mcas]]),"""")","Disable CORE: CORE168 - MCAs: WDTimeout (3 strike), 51488, 32520"
Analysis,U5,"=IF(summ[[#This Row],[CHA Hint]]<>""NotFound"",_xlfn.TEXTJOIN("" "",,""Disable CHA:"",summ[[#This Row],[CHA Hint]],""- Signature:"",summ[[#This Row],[Top OrigReq]],""-"",summ[[#This Row],[Top ISMQ]],"":"",summ[[#This Row],[Top SAD LocPort]]),IF(summ[[#This Row],[SrcIDs]]<>""NotFound"",_xlfn.TEXTJOIN("" "",,""Disable SrcID: "",summ[[#This Row],[SrcIDs]],""- Signature:"",summ[[#This Row],[Top OrigReq]],""-"",summ[[#This Row],[Top ISMQ]],"":"",summ[[#This Row],[Top SAD LocPort]]),""""))",Disable CHA: CHA83 - Signature: CLDemote - Ismq_Idle : MEM44
Analysis,V5,"=IF(summ[[#This Row],[LLC Hint]]<>""NotFound"",_xlfn.TEXTJOIN("" "",,""Disable LLC:"",summ[[#This Row],[LLC Hint]]),"""")",
Analysis,W5,"=IF(summ[[#This Row],[Other]]<>"""",_xlfn.TEXTJOIN("" "",,""Defeature:"",summ[[#This Row],[Other]],"" -- Check CORE or CHA MCAs for more data.""),"""")",
Analysis,Y5,"=_xlfn.TEXTJOIN("" - "",,IF(summ[[#This Row],[Core Fail Area]]<>"""",""CORE: ""&summ[[#This Row],[Core Fail Area]],""""),IF(summ[[#This Row],[CHA Fail Area]]<>"""",""CHA: ""&summ[[#This Row],[CHA Fail Area]],""""),IF(summ[[#This Row],[LLC Fail Area]]<>"""",""LLC: ""&summ[[#This Row],[LLC Fail Area]],""""))",
Analysis,B6,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],ppv[Data.Visual_ID],ppv[Data.Step], """")",
Analysis,C6,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],ppv[Data.Visual_ID],ppv[Data.Start_WW])",#N/A
Analysis,D6,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!F:F)",3
Analysis,E6,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!G:G)",NotFound
Analysis,F6,"=_xlfn.XLOOKUP(summ[[#This Row],[VisualIDs]],REV_Units!A:A,REV_Units!H:H)",
